Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,GoogleTrends
38178.0,38801.0,37324.0,38183.0,38608.0,39657.7,40.306.333.333.333.300,40103.8,3.864.646.193.186.920,3.925.802.935.785.710,3.953.634.861.422.940,3.966.482.168.847.100,397.236.075,40103.8,3.743.140.687.023.780,42756.0,37324.0,82
38180.0,38180.0,36196.0,36235.0,37909.0,39231.1,39981.4,39933.65,3.784.264.128.791.280,387.083.876.564.286,3.912.368.003.745.070,3.933.817.200.385.470,397.412.075,39933.65,3.677.516.781.546.890,42100.0,36196.0,85
36236.0,37085.0,35722.0,36468.0,37459.6,38710.5,39562.2,39792.0,3.738.442.752.527.520,38.301.044.446.168.800,3.879.172.003.276.940,3.906.482.228.920.190,397.540.825,39792.0,3.629.659.621.788.840,41841.0,35722.0,85
36468.0,38554.0,36468.0,38402.0,37493.6,38366.6,3.931.566.666.666.660,39778.8,3.772.361.835.018.340,3.831.940.000.141.080,3.874.300.502.867.320,39.001.696.356.897,39773.43,39778.8,3.626.454.397.062.470,41841.0,35722.0,85
38391.0,38391.0,36973.0,37369.0,37331.4,38118.8,39059.8,39659.9,3.760.541.223.345.560,3.814.660.000.115.430,3.857.125.440.008.900,3.884.620.146.576.390,39.793.245,39659.9,35.991.838.991.783.200,41841.0,35722.0,85
37367.0,38309.0,36476.0,37105.0,37115.8,37861.9,38810.4,39508.7,3.743.860.815.563.710,3.795.721.818.276.260,3.838.797.260.007.790,3.868.037.275.473.880,398.072.275,39508.7,3.568.447.228.188.480,41841.0,35722.0,85
37103.0,37464.0,36392.0,36741.0,37217.0,37563.0,3.855.973.333.333.330,39290.3,3.720.607.210.375.800,3.773.608.760.407.850,381.821.010.250.682,3.849.567.058.762.080,39.812.495,39290.3,3.535.917.242.130.190,41841.0,35722.0,85
36745.0,38804.0,36745.0,38795.0,37682.4,37571.0,38367.8,39092.25,3.773.571.473.583.870,37.928.617.130.609.600,3.825.871.339.693.460,3.852.417.815.070.450,39.804.927.500.000.000,39092.25,3.549.451.210.654.520,39847.0,35722.0,85
38795.0,39310.0,38238.0,38805.0,37763.0,37628.3,38165.4,38927.5,38.092.143.157.225.800,3.808.795.947.049.880,3.832.699.922.231.780,385.509.230.887.327,39782.38,38927.5,3.560.449.861.570.890,39730.0,35722.0,85
38806.0,39304.0,38286.0,39152.0,38119.6,37725.5,38.119.066.666.666.600,38824.75,3.844.542.877.148.380,382.814.213.849.536,3.843.012.431.952.810,386.081.685.088.534,397.505.375,38824.75,3.566.706.667.990.590,39730.0,35722.0,85
