Categoria: Todas as categorias

Mês,Ibovespa: (Brasil)
2009-01,93
2009-02,82
2009-03,85
2009-04,88
2009-05,100
2009-06,81
2009-07,74
2009-08,79
2009-09,78
2009-10,100
2009-11,93
2009-12,75
2010-01,82
2010-02,82
2010-03,76
2010-04,74
2010-05,79
2010-06,63
2010-07,59
2010-08,68
2010-09,69
2010-10,64
2010-11,67
2010-12,58
2011-01,50
2011-02,55
2011-03,48
2011-04,48
2011-05,45
2011-06,43
2011-07,37
2011-08,58
2011-09,42
2011-10,38
2011-11,34
2011-12,28
2012-01,32
2012-02,34
2012-03,34
2012-04,31
2012-05,37
2012-06,29
2012-07,28
2012-08,30
2012-09,28
2012-10,27
2012-11,25
2012-12,23
2013-01,26
2013-02,26
2013-03,27
2013-04,29
2013-05,30
2013-06,30
2013-07,28
2013-08,29
2013-09,27
2013-10,28
2013-11,23
2013-12,21
2014-01,22
2014-02,23
2014-03,22
2014-04,23
2014-05,22
2014-06,18
2014-07,20
2014-08,24
2014-09,25
2014-10,41
2014-11,27
2014-12,27
2015-01,27
2015-02,28
2015-03,28
2015-04,29
2015-05,26
2015-06,23
2015-07,23
2015-08,26
2015-09,29
2015-10,26
2015-11,24
2015-12,26
2016-01,26
2016-02,26
2016-03,37
2016-04,32
2016-05,32
2016-06,31
2016-07,28
2016-08,28
2016-09,31
2016-10,30
2016-11,34
2016-12,28
2017-01,30
2017-02,30
2017-03,32
2017-04,25
2017-05,41
2017-06,30
2017-07,28
2017-08,32
2017-09,29
2017-10,26
2017-11,25
2017-12,24
2018-01,39
2018-02,40
2018-03,35
2018-04,36
2018-05,43
2018-06,49
2018-07,37
2018-08,42
2018-09,40
2018-10,79
2018-11,61
2018-12,47
2019-01,94
