Open_IBOVESPA,High_IBOVESPA,Low_IBOVESPA,Close_IBOVESPA,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,ema_sinal,ROC,PPO,TMA,Slow_Stochastic_%K,Slow_Stochastic_%D,Fast_Stochastic_%K,Fast_Stochastic_%D,Chaikin_Oscillator,bb_high_band,bb_middle_band,bb_lower_band,Highest High,lowest_low,wr,GoogleTrends,variation_USB,variation_gold,variation_silver,variation_oil
38178.0,38801.0,37324.0,38183.0,38608.0,39657.7,40306.333333333336,40103.8,38646.46193186921,39258.02935785717,39536.34861422943,39664.82168847107,39.87180934431245,-32.44621867376358,-128.316230743513,-348.24422662345023,125.24462297514286,-7.117662798900485,-0.8761783213389825,39723.6075,14.042831453326793,10.62027448305023,14.042831453326793,10.62027448305023,-1.174053062887347,0.0,40103.8,37431.40687023784,42756.0,37324.0,-85.9571685466732,82,0.0424999999999999,-1.9000244140625,-0.0150003433227539,0.1699981689453125
38180.0,38180.0,36196.0,36235.0,37909.0,39231.1,39981.4,39933.65,37842.64128791281,38708.3876564286,39123.68003745075,39338.17200385478,31.87407365491941,-69.97531924026183,-172.54346543193074,-574.7333148386606,75.74234818531558,-15.2516605856488,-1.4555459350900972,39741.2075,0.5383022774327122,7.679239925217492,0.5383022774327122,7.679239925217492,-3.1268521285726103,0.0,39933.65,36775.16781546895,42100.0,36196.0,-99.4616977225673,85,0.0575000000000001,-6.0,-0.0399999618530273,-4.189998626708984
36236.0,37085.0,35722.0,36468.0,37459.6,38710.5,39562.2,39792.0,37384.42752527521,38301.044446168846,38791.72003276941,39064.82228920194,33.589952215949765,-63.309352517985616,-166.04983962496908,-727.0454686843295,11.94937964504031,-13.377672209026128,-1.8517686925352888,39754.0825,10.511483725517824,8.364205818759105,10.511483725517824,8.364205818759105,-18.530905803883083,0.0,39792.0,36296.59621788841,41841.0,35722.0,-89.48851627448218,85,-0.0407999999999999,-14.0999755859375,-0.1050004959106445,1.5500030517578125
36468.0,38554.0,36468.0,38402.0,37493.6,38366.6,39315.66666666666,39778.8,37723.61835018348,38319.40000141087,38743.00502867323,39001.696356897,45.79406469951834,-28.227835362785548,-93.35173497023212,-683.813732025701,-56.70864468756552,-6.807095881767661,-1.744489604340605,39773.43,42.47226624405705,17.84068408233586,42.47226624405705,17.84068408233586,67.95058712952613,0.0,39778.8,36264.54397062479,41841.0,35722.0,-57.52773375594295,85,0.0674000000000001,-8.9000244140625,0.1899995803833007,4.0
38391.0,38391.0,36973.0,37369.0,37331.4,38118.8,39059.8,39659.9,37605.41223345565,38146.60000115434,38571.25440008908,38846.20146576395,41.41611924222654,-32.774059760580634,-93.15703842958712,-724.5545225977039,-127.3636153768388,-8.512461440532732,-1.8548367796172345,39793.245,26.91616277169472,26.633304247089864,26.91616277169472,26.633304247089864,4.081720594809935,0.0,39659.9,35991.838991783254,41841.0,35722.0,-73.08383722830528,85,0.0954999999999999,15.0,0.0699996948242187,-1.80999755859375
37367.0,38309.0,36476.0,37105.0,37115.8,37861.9,38810.4,39508.7,37438.60815563711,37957.21818276264,38387.97260007794,38680.37275473882,40.35432699318737,-32.25683890577508,-92.36892559844053,-769.2767428738007,-198.25932171785217,-8.384978148687686,-1.9766633401202245,39807.2275,22.60173230920085,30.663387108317536,22.60173230920085,30.663387108317536,1.884618829564552,0.0,39508.7,35684.47228188487,41841.0,35722.0,-77.39826769079914,85,0.0518999999999998,8.5999755859375,0.0880002975463867,1.9099998474121092
37103.0,37464.0,36392.0,36741.0,37217.0,37563.0,38559.73333333333,39290.3,37206.07210375807,37736.08760407852,38182.1010250682,38495.67058762084,38.87447978049227,-50.756250643070274,-97.38942242662004,-824.5858699519522,-268.68563570546473,-11.837116667466525,-2.1275962486271576,39812.495,16.65304788364112,22.056980988178893,16.65304788364112,22.056980988178893,1.2408817248244872,0.0,39290.3,35359.17242130199,41841.0,35722.0,-83.34695211635888,85,0.0043999999999999,-22.79998779296875,-0.3450002670288086,1.3100013732910156
36745.0,38804.0,36745.0,38795.0,37682.4,37571.0,38367.8,39092.25,37735.71473583872,37928.617130609695,38258.71339693468,38524.17815070457,50.01384075148645,-26.245045666034816,-43.67128748754181,-694.670389800056,-330.79786682132044,-7.279940727994074,-1.792257128608912,39804.927500000005,50.24525833878352,29.83334617720849,50.24525833878352,29.83334617720849,0.4346817070642897,0.0,39092.25,35494.51210654527,39847.0,35722.0,-49.75474166121648,85,0.0529000000000001,-26.0,-0.2699995040893554,-1.5400009155273438
38795.0,39310.0,38238.0,38805.0,37763.0,37628.3,38165.4,38927.5,38092.143157225815,38087.95947049884,38326.99922231784,38550.9230887327,50.06155597470429,-10.82934940760756,-9.653343202565887,-584.1705647260678,-380.684602651658,-2.615002384119256,-1.507035416036201,39782.38,65.42869269949067,44.10899964063842,65.42869269949067,44.10899964063842,-0.0706664297251812,0.0,38927.5,35604.49861570897,39730.0,35722.0,-34.57130730050934,85,0.0355999999999996,15.70001220703125,0.1899995803833007,-3.2399978637695312
38806.0,39304.0,38286.0,39152.0,38119.6,37725.5,38119.066666666666,38824.75,38445.42877148388,38281.4213849536,38430.12431952811,38608.1685088534,51.78157928064722,-5.328705594120047,3.0507553753892567,-463.2585016085359,-415.9150695413492,-1.3157231436205072,-1.1942201168316502,39750.5375,72.80832095096582,62.82742399641333,72.80832095096582,62.82742399641333,-2.218643676161642,0.0,38824.75,35667.06667990596,39730.0,35722.0,-27.19167904903417,85,0.0282,14.5,-0.0069999694824218,4.299999237060547
39152.0,39707.0,38580.0,39015.0,38501.6,37808.7,38075.13333333333,38733.2,38635.28584765592,38414.79931496203,38503.2337795871,38646.91436515308,51.03420787288519,-7.2390401943910065,19.52140938386894,-374.17630399100017,-436.7930177287376,-1.799647621444752,-0.9641667206951474,39706.9575,82.26330252310767,73.50010539118806,82.26330252310767,73.50010539118806,-8.481967984247857,0.0,38733.2,35712.01032704001,39152.0,35722.0,-17.73669747689233,85,0.0274,5.39996337890625,0.25,-0.9599990844726562
39018.0,39713.0,38467.0,38607.0,38874.8,38045.9,38000.26666666667,38638.5,38625.85723177061,38449.74489405984,38516.20455713871,38643.11299704326,48.776359121517295,-1.1650485436893216,15.334779818476386,-332.6654505414699,-445.9898018811755,-0.2789616427741185,-0.8575321653560373,39655.2675,72.28764720621398,75.78642356009581,72.28764720621398,75.78642356009581,-1.0343434800490443,0.0,38638.5,35728.194758277044,39152.0,35722.0,-27.712352793786017,85,0.0439000000000002,-4.800048828125,-0.0950002670288086,2.1499977111816406
38608.0,39511.0,38080.0,39511.0,39018.0,38350.2,38053.333333333336,38530.35,38920.90482118041,38642.70036786714,38640.55398749637,38725.76890208676,53.66752018114144,13.197812403260754,32.201700581478185,-224.2376827329572,-443.005658972807,3.345365139150449,-0.5772402445733038,39592.34,94.93861187672262,83.16318720201474,94.93861187672262,83.16318720201474,7.053030179130439,0.0,38530.35,35935.645756738326,39511.0,35722.0,-5.061388123277374,85,0.0175999999999998,-6.79998779296875,-0.2149991989135742,2.0999984741210938
39508.0,40551.0,38850.0,40142.0,39285.4,38524.2,38180.66666666666,38445.4,39327.93654745361,38915.3003009822,38828.23473905933,38860.648054268975,56.77042262640877,19.104186952288213,102.19101430694025,-86.39555487463076,-426.83140334752414,5.138816134101623,-0.2218543207274319,39517.63249999999,91.53033754400496,86.25219887564718,91.53033754400496,86.25219887564718,2.0264416434701413,0.0,38445.4,36202.40500223471,40142.0,35722.0,-8.46966245599503,85,0.0385000000000004,-26.70001220703125,-0.7150001525878906,-0.529998779296875
40146.0,41137.0,40146.0,40453.0,39545.6,38832.6,38332.2,38475.7,39702.95769830241,39194.88206443998,39031.33039667691,39012.30062052907,58.254339675542255,21.45963320098317,155.77855245067624,47.39409578216873,-397.51085978215536,5.945054081659378,0.1213541666698273,39438.0025,87.36842105263159,91.27912349111972,87.36842105263159,91.27912349111972,1.2055714806925923,0.0,38475.7,36143.20150267998,40453.0,35722.0,-12.63157894736842,85,-0.0448000000000003,20.29998779296875,0.1000003814697265,1.8800010681152344
40453.0,41053.0,40076.0,40076.0,39757.8,39129.7,38458.4,38495.8,39827.30513220161,39355.08532545089,39161.914097092296,39113.60532333583,55.7558105680097,42.6446097479738,136.01000994516346,121.6008694217453,-357.98124273216337,10.600248378639437,0.3107609200808846,39356.55,80.40627885503233,86.43501248388962,80.40627885503233,86.43501248388962,0.1856504763733161,0.0,38495.8,36115.89650615826,40453.0,35722.0,-19.59372114496768,85,0.0664000000000002,-4.79998779296875,0.226999282836914,0.0
40077.0,42509.0,40077.0,42439.0,40524.2,39699.5,38872.0,38631.25,40697.87008813441,39915.79708445982,39571.54983495576,39430.30957825622,65.68913909977316,53.61407919547454,202.6219572449684,366.8557391459544,-303.68880854504374,16.373258747394974,0.9316936303189272,39277.280000000006,98.85564819355892,88.8767827004076,98.85564819355892,88.8767827004076,0.6712914388628586,1.0,38631.25,35733.7218896963,42439.0,36392.0,-1.1443518064410658,85,0.0700000000000002,1.39996337890625,0.1120004653930664,1.6699981689453125
42439.0,42439.0,41476.0,41476.0,40917.2,39967.6,39205.86666666667,38769.3,40957.24672542294,40199.470341830754,39809.60610558629,39625.13723746991,59.79709620363141,30.23804839661617,175.38644356917678,478.0057853498656,-237.6738669094908,8.004791417113692,1.2091994001291335,39203.455,83.1126369135197,87.45818798737031,83.1126369135197,87.45818798737031,-0.194878117192989,0.0,38769.3,35617.069735568155,42439.0,36392.0,-16.8873630864803,85,-0.0011000000000001,0.0,-0.1960000991821289,0.1499977111816406
41478.0,42623.0,41114.0,41799.0,41248.6,40267.0,39432.333333333336,38947.65,41237.83115028196,40490.29391604335,40058.280342388,39832.17178628231,61.05875826627841,46.84856175972927,151.0937976244829,585.4081772720237,-162.50102249547635,11.854745912387273,1.4746249837021923,39139.240000000005,86.77579842721875,89.58136117809913,86.77579842721875,89.58136117809913,-1.2426493188314285,0.0,38947.65,35543.62313318475,42439.0,36392.0,-13.224201572781254,85,0.0658999999999996,14.20001220703125,0.064000129699707,-0.9599990844726562
41801.0,42680.0,41801.0,42589.0,41675.8,40610.7,39780.333333333336,39168.1,41688.22076685465,40871.8768403991,40374.6202995895,40094.726854255416,64.03187949925741,54.93889000200362,147.07482036048197,725.9039751908422,-78.85420216305434,14.779679288505593,1.818721410679668,39087.345,98.55279898218828,89.48041144097556,98.55279898218828,89.48041144097556,0.0300945535234883,0.0,39168.1,35436.205741047845,42589.0,36392.0,-1.4472010178117047,85,0.0550000000000001,0.0,0.0970001220703125,1.5
42589.0,42589.0,41586.0,41907.0,42042.0,40899.9,40100.46666666667,39354.3,41761.1471779031,41060.08105123562,40566.167762140816,40267.32429670728,59.78803858503248,50.15533980582524,112.91055990861358,773.3020621621035,8.76601342270206,14.060586266024334,1.9303313532118984,39049.87,86.97556866048862,90.76805535663188,86.97556866048862,90.76805535663188,-0.0093117430485817,0.0,39354.3,35469.125198269714,42589.0,36745.0,-13.024431339511374,85,0.0224999999999999,0.0,-0.2489995956420898,-1.6199989318847656
41909.0,41909.0,40351.0,40653.0,41684.8,41104.5,40361.26666666667,39575.2,41391.76478526874,40986.06631464732,40577.021791873216,40304.05531606849,52.85185010921743,19.557894736842105,61.16330201878873,701.5905683400197,92.55593359427888,4.789276968681532,1.7494074490801894,39031.9475,55.934782608695656,80.48771675045751,55.934782608695656,80.48771675045751,-1.5872637841401704,0.0,39575.2,35929.55686880902,42589.0,38080.0,-44.06521739130435,85,0.0403000000000002,-9.0999755859375,-0.3170003890991211,-3.84000015258789
40661.0,41610.0,40661.0,40926.0,41574.8,41246.0,40503.333333333336,39798.1,41236.50985684583,40975.145166529626,40620.644067889065,40363.28814310958,54.100286300455565,21.72487964764929,58.220531422336165,659.1887931991878,168.8467968882844,5.46579049091612,1.6411888199165046,39032.2525,61.86956521739131,68.25997216219186,61.86956521739131,68.25997216219186,7.99488421255031,0.0,39798.1,36403.10810604799,42589.0,38080.0,-38.130434782608695,85,0.0084999999999997,4.5999755859375,-0.0599994659423828,1.020000457763672
40918.0,42005.0,40256.0,41976.0,41610.2,41429.4,40714.73333333333,39976.8,41483.00657123055,41157.11877261515,40790.06355940293,40516.87974852771,58.636846436941205,26.9826103573476,66.63370749484086,702.2165899612228,239.00774111936545,7.212913771965672,1.7424968225837771,39042.1525,84.69565217391303,67.49999999999999,84.69565217391303,67.49999999999999,50.081814530499926,0.0,39976.8,36518.90094999871,42589.0,38080.0,-15.304347826086955,88,0.0851999999999999,7.5,0.1350002288818359,-0.5699996948242188
